ID;RFERR;ARCH1;ARCH2;QSURF;QPERC;ESOIL;QINTF;Q_TDH;SNOWM
2;multiplc_e;tension1_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
6;multiplc_e;onestate_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
8;multiplc_e;tension1_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
10;multiplc_e;tension2_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
12;multiplc_e;onestate_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
14;multiplc_e;tension1_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
16;multiplc_e;tension2_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
18;multiplc_e;onestate_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
20;multiplc_e;tension1_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
22;multiplc_e;tension2_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
24;multiplc_e;onestate_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
26;multiplc_e;tension1_1;tens2pll_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
30;multiplc_e;onestate_1;tens2pll_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
32;multiplc_e;tension1_1;unlimfrc_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
34;multiplc_e;tension2_1;unlimfrc_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
36;multiplc_e;onestate_1;unlimfrc_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
38;multiplc_e;tension1_1;unlimpow_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
40;multiplc_e;tension2_1;unlimpow_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
42;multiplc_e;onestate_1;unlimpow_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
44;multiplc_e;tension1_1;fixedsiz_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
46;multiplc_e;tension2_1;fixedsiz_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
48;multiplc_e;onestate_1;fixedsiz_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
50;multiplc_e;tension1_1;tens2pll_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
54;multiplc_e;onestate_1;tens2pll_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
56;multiplc_e;tension1_1;unlimfrc_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
58;multiplc_e;tension2_1;unlimfrc_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
60;multiplc_e;onestate_1;unlimfrc_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
62;multiplc_e;tension1_1;unlimpow_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
64;multiplc_e;tension2_1;unlimpow_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
66;multiplc_e;onestate_1;unlimpow_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
68;multiplc_e;tension1_1;fixedsiz_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
70;multiplc_e;tension2_1;fixedsiz_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
72;multiplc_e;onestate_1;fixedsiz_2;tmdl_param;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
78;multiplc_e;onestate_1;tens2pll_2;arno_x_vic;perc_w2sat;sequential;intflwnone;rout_gamma;temp_index
